"","Category","City","Country","Customer.Name","Discount","Number.of.Records","Order.Date","Order.ID","Postal.Code","Manufacturer","Product.Name","Profit","Quantity","Region","Sales","Segment","Ship.Date","Ship.Mode","State","Sub.Category"
"1","Furniture","Henderson","United States","Claire Gute",0,1,"11/8/2017","CA-2017-152156",42420,"Bush","Bush Somerset Collection Bookcase",41.9136,2,"South",261.96,"Consumer","11/11/2017","Second Class","Kentucky","Bookcases"
"2","Furniture","Henderson","United States","Claire Gute",0,1,"11/8/2017","CA-2017-152156",42420,"Hon","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",219.582,3,"South",731.94,"Consumer","11/11/2017","Second Class","Kentucky","Chairs"
"3","Office Supplies","Los Angeles","United States","Darrin Van Huff",0,1,"6/12/2017","CA-2017-138688",90036,"Universal","Self-Adhesive Address Labels for Typewriters by Universal",6.8714,2,"West",14.62,"Corporate","6/16/2017","Second Class","California","Labels"
"4","Furniture","Fort Lauderdale","United States","Sean O'Donnell",0.45,1,"10/11/2016","US-2016-108966",33311,"Bretford","Bretford CR4500 Series Slim Rectangular Table",-383.031,5,"South",957.5775,"Consumer","10/18/2016","Standard Class","Florida","Tables"
"5","Office Supplies","Fort Lauderdale","United States","Sean O'Donnell",0.2,1,"10/11/2016","US-2016-108966",33311,"Eldon","Eldon Fold 'N Roll Cart System",2.5164,2,"South",22.368,"Consumer","10/18/2016","Standard Class","Florida","Storage"
"6","Furniture","Los Angeles","United States","Brosina Hoffman",0,1,"6/9/2015","CA-2015-115812",90032,"Eldon","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",14.1694,7,"West",48.86,"Consumer","6/14/2015","Standard Class","California","Furnishings"
"7","Office Supplies","Los Angeles","United States","Brosina Hoffman",0,1,"6/9/2015","CA-2015-115812",90032,"Newell","Newell 322",1.9656,4,"West",7.28,"Consumer","6/14/2015","Standard Class","California","Art"
"8","Technology","Los Angeles","United States","Brosina Hoffman",0.2,1,"6/9/2015","CA-2015-115812",90032,"Mitel","Mitel 5320 IP Phone VoIP phone",90.7152,6,"West",907.152,"Consumer","6/14/2015","Standard Class","California","Phones"
"9","Office Supplies","Los Angeles","United States","Brosina Hoffman",0.2,1,"6/9/2015","CA-2015-115812",90032,"DXL","DXL Angle-View Binders with Locking Rings by Samsill",5.7825,3,"West",18.504,"Consumer","6/14/2015","Standard Class","California","Binders"
"10","Office Supplies","Los Angeles","United States","Brosina Hoffman",0,1,"6/9/2015","CA-2015-115812",90032,"Belkin","Belkin F5C206VTEL 6 Outlet Surge",34.47,5,"West",114.9,"Consumer","6/14/2015","Standard Class","California","Appliances"
"11","Furniture","Los Angeles","United States","Brosina Hoffman",0.2,1,"6/9/2015","CA-2015-115812",90032,"Chromcraft","Chromcraft Rectangular Conference Tables",85.3092,9,"West",1706.184,"Consumer","6/14/2015","Standard Class","California","Tables"
"12","Technology","Los Angeles","United States","Brosina Hoffman",0.2,1,"6/9/2015","CA-2015-115812",90032,"Other","Konftel 250 Conference phone - Charcoal black",68.3568,4,"West",911.424,"Consumer","6/14/2015","Standard Class","California","Phones"
"13","Office Supplies","Concord","United States","Andrew Allen",0.2,1,"4/15/2018","CA-2018-114412",28027,"Xerox","Xerox 1967",5.4432,3,"South",15.552,"Consumer","4/20/2018","Standard Class","North Carolina","Paper"
"14","Office Supplies","Seattle","United States","Irene Maddox",0.2,1,"12/5/2017","CA-2017-161389",98103,"Fellowes","Fellowes PB200 Plastic Comb Binding Machine",132.5922,3,"West",407.976,"Consumer","12/10/2017","Standard Class","Washington","Binders"
"15","Office Supplies","Fort Worth","United States","Harold Pawlan",0.8,1,"11/22/2016","US-2016-118983",76106,"Holmes","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-123.858,5,"Central",68.81,"Home Office","11/26/2016","Standard Class","Texas","Appliances"
"16","Office Supplies","Fort Worth","United States","Harold Pawlan",0.8,1,"11/22/2016","US-2016-118983",76106,"Storex","Storex DuraTech Recycled Plastic Frosted Binders",-3.816,3,"Central",2.544,"Home Office","11/26/2016","Standard Class","Texas","Binders"
"17","Office Supplies","Madison","United States","Pete Kriz",0,1,"11/11/2015","CA-2015-105893",53711,"Other","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",13.3176,6,"Central",665.88,"Consumer","11/18/2015","Standard Class","Wisconsin","Storage"
